Date,Name,Year,Letterboxd URI,Type,Genre,IMDbRating,Runtime,OMDbYear
2025-03-25,Bill & Ted's Excellent Adventure,,https://boxd.it/28oI,movie,"Adventure, Comedy, Music",6.9,90 min,1989
2025-03-25,The Wailing,,https://boxd.it/9fLy,movie,"Drama, Horror",7.4,156 min,2016
2025-03-25,An American Werewolf in London,,https://boxd.it/29yk,movie,"Comedy, Horror",7.5,97 min,1981
2025-03-25,The Wicker Man,,https://boxd.it/1KnG,movie,"Horror, Mystery, Thriller",7.5,88 min,1973
2025-03-25,The Blair Witch Project,,https://boxd.it/26ua,movie,"Horror, Mystery",6.5,81 min,1999
2025-03-25,Coraline,,https://boxd.it/1NhQ,movie,"Animation, Drama, Family",7.8,100 min,2009
2025-03-25,The Witch,,https://boxd.it/9X0m,movie,"Drama, Fantasy, Horror",7.0,92 min,2015
2025-03-25,The Devil Wears Prada,,https://boxd.it/2awE,movie,"Comedy, Drama",6.9,109 min,2006
2025-03-25,Perfect Blue,,https://boxd.it/1W7A,movie,"Animation, Crime, Drama",8.0,81 min,1997
2025-03-25,Dirty Dancing,,https://boxd.it/2baY,movie,"Drama, Music, Romance",7.1,100 min,1987
2025-03-25,Green Book,,https://boxd.it/hErk,movie,"Biography, Comedy, Drama",8.2,130 min,2018
2025-03-25,Cruella,,https://boxd.it/bbKg,movie,"Adventure, Comedy, Crime",7.3,134 min,2021
2025-03-25,Schindler's List,,https://boxd.it/2aq2,movie,"Biography, Drama, History",9.0,195 min,1993
2025-03-25,The Photographer of Mauthausen,,https://boxd.it/jeyS,movie,"Biography, Drama, History",6.7,110 min,2018
2025-03-25,My Best Friend Anne Frank,,https://boxd.it/tDCK,movie,Drama,6.3,103 min,2021
2025-03-25,Apollo 13,,https://boxd.it/2a6G,movie,"Adventure, Drama, History",7.7,140 min,1995
2025-03-25,The Platform 2,,https://boxd.it/Gz88,movie,"Horror, Sci-Fi, Thriller",4.9,99 min,2024
2025-03-25,The Good Shepherd,,https://boxd.it/291g,movie,"Drama, History, Thriller",6.7,167 min,2006
2025-03-25,Godzilla Minus One,,https://boxd.it/zu4c,movie,"Action, Adventure, Drama",7.7,124 min,2023
2025-03-25,A Whisker Away,,https://boxd.it/oQEa,movie,"Animation, Adventure, Drama",6.7,104 min,2020
2025-03-25,The Talented Mr. Ripley,,https://boxd.it/2924,movie,"Crime, Drama, Thriller",7.4,139 min,1999
2025-03-28,Adolescence,,https://boxd.it/TFGw,series,"Crime, Drama, Mystery",8.2,N/A,2025
2025-03-28,Trap,,https://boxd.it/D4nK,movie,"Crime, Horror, Mystery",5.8,105 min,2024
2025-03-30,Black Bag,,https://boxd.it/KRbM,movie,"Drama, Mystery, Romance",6.9,93 min,2025
2025-03-30,Death of a Unicorn,,https://boxd.it/HCPm,movie,"Comedy, Fantasy, Horror",6.1,107 min,2025
2025-03-31,Strange Days,,https://boxd.it/2aGO,movie,"Crime, Drama, Sci-Fi",7.2,145 min,1995
2025-03-31,The Devil's Advocate,,https://boxd.it/286k,movie,"Drama, Fantasy, Mystery",7.5,144 min,1997
2025-04-03,Kiss Kiss Bang Bang,,https://boxd.it/23c8,movie,"Comedy, Crime, Mystery",7.5,103 min,2005
2025-04-04,Hoodlum,,https://boxd.it/1B6c,movie,"Crime, Drama",6.3,130 min,1997
2025-04-05,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,,https://boxd.it/1VQa,movie,"Comedy, Crime",6.5,89 min,1996
2025-04-06,Excalibur,,https://boxd.it/1TDI,movie,"Adventure, Drama, Fantasy",7.3,140 min,1981
2025-04-06,Training Day,,https://boxd.it/27A4,movie,"Crime, Drama, Thriller",7.8,122 min,2001
2025-04-06,The Tragedy of Macbeth,,https://boxd.it/lMi4,movie,"Drama, Mystery, Thriller",7.1,105 min,2021
2025-04-06,The Book of Eli,,https://boxd.it/1Dnu,movie,"Action, Adventure, Drama",6.8,118 min,2010
2025-04-07,Batman,,https://boxd.it/2aIU,movie,"Action, Adventure",7.5,126 min,1989
2025-04-07,Batman Returns,,https://boxd.it/2awa,movie,"Action, Crime, Fantasy",7.1,126 min,1992
2025-04-07,Frankenweenie,,https://boxd.it/bPS,movie,"Animation, Comedy, Drama",6.9,87 min,2012
2025-04-07,Mars Attacks!,,https://boxd.it/2bd4,movie,"Comedy, Sci-Fi",6.4,106 min,1996
2025-04-07,Planet of the Apes,,https://boxd.it/29ps,movie,"Action, Adventure, Sci-Fi",5.7,120 min,2001
